,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
1504,0x5ceEc7c1505b6819783c2c377b2a4b95497E5819,1.0,0.0,0.0,0.0,0.0,0.0,2.458947442705671,1.0741752279007366
1523,0xA90ce80FBD8DeA089d79f48649Cb19fd732532f0,1.0,0.0,0.0,0.0,0.0,0.0,1.3391756146047054,2.1604272953961887
1538,0xec58A1a14D5d86054cdF40F877B826920f743DCB,1.0,0.0,0.0,0.0,0.0,0.0,1.3691381338340862,1.9144208595201893
1539,0xe7aC1581629716F508f7acA2337b344DC9e3E8fe,1.0,0.0,0.0,0.0,0.0,0.0,1.2349973989118546,2.5463518829346485
1542,0x40ABa0420d6B49AD8449c83a65Ef1025cd845C79,0.0,0.0,0.0,0.0,1.0,0.0,2.786989754832016,4.212559041919291
1544,0x271A7077C565759bFc04299BF35789c354AC1C25,0.2815778518218073,0.0,0.7184221481781926,0.0,0.0,0.0,1.5018683905390506,3.069271782844054
1559,0x88D41b95981B28a867bbbB4058A7aD9F20DB7883,1.0,0.0,0.0,0.0,0.0,0.0,1.6666852738303444,1.54495354400313
1561,0xCE515d09e5503Eca0c79185b70FD515F108b2dE9,1.0,0.0,0.0,0.0,0.0,0.0,1.7992025195454473,1.369511729457516
1566,0xf9F517A043C7c219064943253c4c5ce0F6daE080,1.0,0.0,0.0,0.0,0.0,0.0,1.843996131250004,1.4659900463114532
1572,0xA358D01c49117597cD302735D850C5DCDe76EBa9,1.0,0.0,0.0,0.0,0.0,0.0,1.6667174038714658,1.4486950650961252
1573,0x5Ed5B84e1EeF854FC577D715EEF14E39F54a3868,1.0,0.0,0.0,0.0,0.0,0.0,2.0010137607981684,1.3690953145306266
1574,0xdf926B556fAf1aD6ca4417c7B7cBe16Ba78ff751,0.0,0.0,0.0,0.0,0.0,1.0,1.663753196372755,2.5464550156166506
1586,0x399Aa5c695cD5E83621e8146B36414987632e4a7,1.0,0.0,0.0,0.0,0.0,0.0,2.0035573209176416,1.3691333043196434
1589,0x9a51D3c98f53874dc7F781BA94c0fF5a5673C70d,0.9998052918600714,0.0,0.0,0.0,0.0001947081399286,0.0,1.381728031165194,5.516743990829945
1594,0x18a0C73C3df043f64f4Ca3C96e9E524BD778C4aB,0.8939954211701859,0.0,0.0,0.0,0.106004578829814,0.0,1.901074287422981,1.3695924303626197
1602,0xe09d9f4A46943335A42022FeE6e287D4bb288Df1,1.0,0.0,0.0,0.0,0.0,0.0,3.669022503698665,1.4598491734162389
1605,0x0aC7f5073203Af06A8324289b76069a3E9bd3557,0.0,0.0,1.0,0.0,0.0,0.0,1.7001189935467056,5.118014654115625
1606,0x55642AD308223bB939402F6DFCC702558a5cdF56,0.0,0.0,1.0,0.0,0.0,0.0,1.4520708869094698,5.133857740154832
1607,0x4B52691cbD1E0E837E4989188b90888e086A8B47,0.0,0.0,1.0,0.0,0.0,0.0,1.450673926947015,5.123518087592597
1608,0x13d8c9cBa88a602016A7F7F5c9032a6f009229a9,0.0,0.0,1.0,0.0,0.0,0.0,1.4494618582406178,4.718606076415993
1609,0xC30fc16493dcd3C5BA27B61691B44ed429a8Bb9d,0.0,0.0,1.0,0.0,0.0,0.0,1.4495794979632464,5.321621592294008
1615,0x49FC0AA99Ab2899DDaAffDa96C5783c88EdFBd1D,1.0,0.0,0.0,0.0,0.0,0.0,1.5609120543533614,1.8652901899427128
1617,0x454E05851476487347D7b6a53Ed41ab2dC5224cD,1.0,0.0,0.0,0.0,0.0,0.0,1.9212991936283712,1.4482694281085948
1622,0x68ACb2051b73C2342be78Cd1a7E5Ca44483D10c5,0.5010401933807029,0.0,0.498959806619297,0.0,0.0,0.0,1.965798754071296,3.449096816457609
1623,0x0841bB6F2BA1b90AA7aFc70F33a8821c86E406Cb,1.0,0.0,0.0,0.0,0.0,0.0,1.998641196957185,1.3696878623313944
1627,0x810a00a5E654C5500EFA15011fb1727A9bf63638,1.0,0.0,0.0,0.0,0.0,0.0,1.71362718241661,1.2141908172040723
1635,0x4408E04e4D8AEb7EdbC0bc0aE66028762FDF29e5,0.6544862006036581,0.0,0.3455137993963418,0.0,0.0,0.0,1.3653744640233694,2.3343656300059203
1639,0xAD0Dd58b9515375Bb91996C370b2B6Dd010Dfe0C,1.0,0.0,0.0,0.0,0.0,0.0,1.7985015675099754,1.3696469296360445
1640,0x2f75b386AF8291Db1E4eC8F175AF7c51aE792068,1.0,0.0,0.0,0.0,0.0,0.0,1.7544809933698855,1.272656345847967
1646,0xE3ECaC7EA1788cF971601437d61669D073aE8EB6,0.0,0.0,1.0,0.0,0.0,0.0,1.3966863956517197,0.3698059682767063
1649,0xD33a2A360a28f75B984C3a15b09B102b0A3Cc52B,0.0,0.0,1.0,0.0,0.0,0.0,1.452331787546746,5.040662424588706
1653,0x414FA59C2d021b719Dd13831f5889c444542aC67,1.0,0.0,0.0,0.0,0.0,0.0,1.6924413281646022,1.4830288733793746
1654,0xa79d208B7bcc14c25464EA7b17Ce24dE13F37192,1.0,0.0,0.0,0.0,0.0,0.0,1.466002917759313,1.545601372589383
1669,0x71D8E75fFD698A977c3a3172281Ba80e8F044C09,1.0,0.0,0.0,0.0,0.0,0.0,1.6650020617557362,1.5458177492634408
1681,0x098F7047862F4EBD220517a90Cd02196922C1Ff5,1.0,0.0,0.0,0.0,0.0,0.0,1.498559698189245,1.6707183766920544
1692,0xAfA9c228Accf4238f02202f6B0036b1eDCcC37C3,0.8027241796722677,0.0,0.1845187126679215,0.0,0.0127571076598106,0.0,2.202009334988441,1.4835842440693368
1704,0xe19895230C2aE34375a83cb1f07F8CF607eD917C,1.0,0.0,0.0,0.0,0.0,0.0,1.3987931939665958,1.974004730795894
1716,0x0bAFA96A4e1B91428bCFF88598668c66F016BC18,1.0,0.0,0.0,0.0,0.0,0.0,1.5871818143739231,1.6000367812129077
1717,0xCA5C410067f8379a1Cf4DCfE052f9D6C037CCa5e,1.0,0.0,0.0,0.0,0.0,0.0,2.499998373864229,1.2723035917499654
2006,0xF7Cd0BD88b79C458C67fbaA319EF47163ff13b88,1.0,0.0,0.0,0.0,0.0,0.0,1.7993323881939165,1.3690921663672029
2013,0xf69CF98b527Eab3ED677521Bcd1dB70283528c8A,1.0,0.0,0.0,0.0,0.0,0.0,1.254173179270188,5.663544265757588
