,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
205,0x7EcD7aDbe7F29377021cBfE10468E635a13Dd463,1.0,0.0,0.0,0.0,0.0,0.0,1.3830024147739952,4.0546744208671255
209,0x6c97Be81E861fa10fE217de87B7514173f4B6640,1.0,0.0,0.0,0.0,0.0,0.0,1.6677186442273548,3.150238976046472
231,0x23D07C846ddA0234a1F3561Ea8db3563413ef7d7,0.3029837234361969,0.0,0.697016276563803,0.0,0.0,0.0,2.7092070801536483,4.970949859302034
307,0xF93A5F0A4925EeC32cD585641c88a498523f383C,1.7385156146570111e-09,0.0,0.4999999991307421,0.0,0.0,0.4999999991307421,1.713434284707162,3.78028254557362
327,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,0.0,0.0,0.7423877006490301,0.0,0.0,0.2576122993509698,2.094276613339189,4.910421026235984
357,0xa064B34DC0aEeF23e48B400DC4b0A3f940B55865,1.0,0.0,0.0,0.0,0.0,0.0,2.125887550537888,5.121929103749556
395,0xBFDf97C84214A64ad1a95B7133fba0A4314EBb42,0.0,0.0,0.5848875010176845,0.0,0.4151124989823155,0.0,1.7090163539589651,3.748806865141648
436,0xEa5CB7958E580b2e7E89e41264502744EfdAc43f,0.0,0.0,0.5000000000203718,0.0,0.0,0.4999999999796281,1.634586016360967,4.235649268146334
481,0x70429D6362E07d6986889756d4047D66e0802F8e,1.0,0.0,0.0,0.0,0.0,0.0,2.683514364004007,2.191367966896674
623,0x47F269D4bcAECdFed3110C0200db50345f797DbC,1.0,0.0,0.0,0.0,0.0,0.0,2.172919261470664,1.3350610776530372
633,0x2f01560D567eE32167E86ECf61805805071F9500,1.0,0.0,0.0,0.0,0.0,0.0,2.164090172248309,1.3376880860943134
641,0x0F301916f3347E358C1362B883260A450D9EA161,1.0,0.0,0.0,0.0,0.0,0.0,2.338304060141101,1.319382420788961
902,0xE43fA6CBb7DdA0bD863593c5E75fAe9B4dCD5CD4,0.7635752600262051,0.0,0.2364247399737948,0.0,0.0,0.0,1.5909020805206633,4.148569473270888
976,0xbE026AE67432eFa9aD85b897A70e0BaB0Dcb1CEA,1.0,0.0,0.0,0.0,0.0,0.0,1.5151652315233275,4.59027997692362
999,0xD77B92abE0232a85DF4228154C18b9Be305D9EA1,0.5871900859572112,0.0,0.4128099140427888,0.0,0.0,0.0,1.4820973262400057,4.398753650013654
1009,0x96bF1E85EEcf3b971A3e1EbC88Bd4EFe3f8698Ee,0.3210071104640699,1.907903066144205e-11,0.678992889516851,0.0,0.0,0.0,1.779717672776956,4.770192471212786
1342,0xCe64a3542A73740A0b625866ef1A7b5990225d20,0.7292406376214525,0.0,0.0,0.0,0.2707593623785475,0.0,2.43197394863698,3.200111801816252
1372,0x888bd1C669de602CC66067d5353c84847cAa6156,0.9999999989314656,0.0,0.0,0.0,1.0685343465379007e-09,0.0,2.707709510635478,3.317737448052147
1387,0x8e6ed79c48944265FE5D004010c11CB28aa105B4,0.688259528139295,0.0,0.1558702359303524,0.0,0.0,0.1558702359303524,1.865495143617568,4.903790261868092
1485,0x7EAB8f22369fF1e304F8104686282B2870683038,0.9971859302690762,0.0,0.0,0.0,0.0028140697309237,0.0,1.4458080110200002,2.393758693428944
1495,0x908D8D559A6FB979e3C3221039E5b8C3C5c2e91a,0.0,2.8039967534635484e-09,0.6371783606823832,0.0,0.0,0.3628216365136199,2.519454335222719,4.39895917148932
1509,0xce8453cc4200c37B25FEF3C8C90f544D1370e248,1.0,0.0,0.0,0.0,0.0,0.0,1.6145456586419364,2.3971431017182905
1636,0x13F9A95BaDd64b80c655f503E37faC7ADccC629a,1.0,0.0,0.0,0.0,0.0,0.0,1.437923999490078,3.2327965438906943
1704,0xe19895230C2aE34375a83cb1f07F8CF607eD917C,1.0,0.0,0.0,0.0,0.0,0.0,1.3987931939665958,1.90406926587018
1854,0x0DA8cB62108aBf07c83152045b047Aa10F0B31CB,0.732019712879184,0.0,0.133990143560408,0.0,0.0,0.133990143560408,1.4620446747054685,4.017607243963784
1927,0xc9E4FD144004C5692Cb598c86d2Fd5eFB7950b3C,1.0,0.0,0.0,0.0,0.0,0.0,1.8995166181924807,3.7020426973636
1943,0x6fCC22Af6c50df9903e1513a64aa570f0b493038,1.0,0.0,0.0,0.0,0.0,0.0,1.7386083165837989,3.672870631875864
2067,0x6B979E8628cDD7576ffC00eF07592580Aa935AFF,0.0,0.0,0.4336538606322531,0.0260537734294525,0.4188892721971133,0.1214030937411808,1.6018980756621282,1.7805983603577928
2105,0xcCb8E090Fe070945cC0131a075B6e1EA8F208812,0.0,0.0,0.0,0.3023407443180628,0.6976592556819371,0.0,1.3357430313895455,6.177106061737437
2135,0xCEa51025f8046E4aB4Df3092bED64dd9EbEEaDa1,0.0,0.0,0.9986866180853284,0.0,0.0013133819146715,0.0,1.463699229972789,3.628231108093257
2188,0x3f5AFE475e7025700726533B48EbcAcC6ca4D11C,0.0,0.0,0.0,0.0,1.0,0.0,1.1998991776395516,3.015156121446604
2193,0xA51CC4578939370d3b680F145830b362585964D5,0.0,0.0,0.0,0.3283162044626355,0.6716837955373645,0.0,1.337916913634698,5.4132215268028
2197,0xEA3e3612175a894362f3062785adC133D9b98f10,0.0,0.0,3.137098360603943e-10,0.0,0.0,0.99999999968629,1.4030319715826984,3.766756290423536
2225,0xC53fe73AAD87029c1CebAEAE149b574B9ecD7F0b,0.0,0.0,0.7413133901904667,0.0,0.0,0.2586866098095334,1.6260314959798836,3.703545181146005
2245,0x783dCA6F7B25E155123a5ea77Ff2F7Dd1deeeF85,0.0,0.0,0.0,0.2254215024309619,0.0,0.774578497569038,1.679728529227938,3.470511605653124
2260,0xAdffC760EDF4f6146dce89022B5AE7EbB7edD2B9,0.0,0.0,1.0,0.0,0.0,0.0,2.023825424867981,3.0883084982510622
2266,0x66E96319a334e8f95983a9260B77d6Eee8d472Cd,0.0,0.0,0.0,0.0,1.0,0.0,1.4028785308166982,3.3992404994959537
2569,0xd7854FC91f16a58D67EC3644981160B6ca9C41B8,0.0005180437099621,0.0,0.0,0.0,0.9994819562900378,0.0,1.8573126100211743,1.5851270288427968
2574,0x4AB14276AF9dF6E1CA74B172008C789241197952,1.0,0.0,0.0,0.0,0.0,0.0,1.783269610501908,3.8334505847651945
2592,0x9f88CE4eB5fbbDca7d911Fa75c6f8fBd95D2BBbc,1.0,0.0,0.0,0.0,0.0,0.0,1.9533873768995544,4.035954104353075
2593,0x3d40aC1fF6c11eA200a86E9bC761c244149ba5c0,1.0,0.0,0.0,0.0,0.0,0.0,1.4496681428460432,3.758927370244776
2635,0x793E92dD9aDE375eC813616325a2326cb60ED91F,1.0,0.0,0.0,0.0,0.0,0.0,1.6511154977277935,3.649395053483548
2654,0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,0.1462150188370497,0.0,0.8315986518942533,0.0,0.0,0.022186329268697,2.2470119126387083,5.392159373740722
2661,0x4903cb9e427DEd0e36598bc65c815052c98afEac,1.0,0.0,0.0,0.0,0.0,0.0,1.473257543495729,5.021847299517315
2743,0x310E989c73b58591BB61596972B5019354f8b668,1.0,0.0,0.0,0.0,0.0,0.0,1.319997686369681,1.7807224330434532
2748,0x5Daf884B73F6aB637D72bf09475a8455121614E6,1.0,0.0,0.0,0.0,0.0,0.0,3.631537249365116,4.494771588156645
2752,0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,0.0,0.0,0.2478672167828922,0.0951593810884216,0.4091727187877654,0.2478006833409207,1.3442514618525263,4.777464901469302
2771,0x85B3C124A704aE638622A1e99310F22eEE7279c6,0.0,0.0,0.8911089710416317,0.0,0.0,0.1088910289583684,1.5967515516683757,4.293268053244623
2775,0x7EcD7aDbe7F29377021cBfE10468E635a13Dd463,1.0,0.0,0.0,0.0,0.0,0.0,1.3891564075168157,4.051035888175488
